,ID,X,Y
503,29685860,146.982,-36.4507
504,30269700,147.154,-36.3168
505,28513630,146.976,-36.4502
506,27646530,146.952,-36.2253
507,27846210,147.318,-36.1012
508,28516270,147.319,-36.1064
509,29685650,147.051,-36.2059
510,29686730,148.008,-36.1686
511,29690800,146.851,-36.4853
512,30084860,145.693,-37.1954
513,29160770,146.715,-36.5552
514,30414060,145.66,-35.9171
515,29690780,146.918,-36.2553
516,27838750,147.226,-36.4132
517,28514700,146.52,-36.0968
518,28515610,147.159,-36.3241
519,27845170,147.073,-36.0746
520,29691040,147.05,-36.8043
521,27849210,147.009,-36.2572
522,28516130,147.476,-35.9588
523,27848290,147.508,-36.5535
524,29685430,146.372,-36.2563
525,28517120,146.676,-36.5073
526,29686910,146.874,-36.3775
527,29685950,147.525,-36.5549
528,27848280,147.039,-36.4862
529,29688740,146.717,-36.5679
530,29688770,146.693,-36.6491
531,29692720,146.388,-36.1711
532,28516200,147.351,-36.0406
533,29689900,147.463,-36.1488
534,27452390,147.605,-35.9787
535,29688750,146.717,-36.5678
536,29689720,147.313,-36.0724
537,28516870,147.182,-36.2184
538,29688260,146.894,-36.1936
539,29042070,146.926,-36.1467
540,26861770,146.531,-36.0503
541,28516180,147.349,-36.0395
542,27842860,147.116,-36.054
543,27849960,146.822,-36.2956
544,28513250,146.957,-36.2042
545,29690170,146.846,-36.4876
546,27843090,147.333,-36.4772
547,29690860,146.867,-36.3343
548,29686500,147.026,-36.7673
549,28517280,146.871,-36.2965
550,29688660,147.225,-36.8118
551,30418800,147.342,-36.0499
552,28516800,147.528,-36.1648
553,27840360,147.966,-36.1487
554,29692890,146.251,-36.0755
555,29691030,147.053,-36.8082
556,28514120,147.015,-36.1473
557,29685340,146.395,-36.136
558,29687150,147.002,-36.5602
559,29688810,146.669,-36.6994
560,29692780,146.987,-36.451
561,28516220,147.348,-36.0496
562,29685640,146.295,-36.0795
563,27842250,146.885,-36.412
564,29689540,147.016,-36.7462
565,28516050,147.709,-35.9349
566,29689140,147.271,-36.3575
567,28517620,147.215,-36.2159
568,27849970,146.827,-36.3039
569,29685460,146.374,-36.2479
570,29685960,147.498,-36.5342
571,29687180,147.642,-36.0798
572,29687910,147.131,-36.6716
573,27848890,146.824,-36.2979
574,27843610,146.7,-36.3125
575,28724580,147.152,-36.0672
576,29688960,147.116,-36.6346
577,29690270,146.839,-36.5893
578,27840550,147.04,-36.4868
579,28517260,146.644,-36.3719
580,28513470,146.857,-36.301
581,27536060,147.522,-36.1605
582,29688950,146.577,-36.4628
583,29689550,147.08,-36.0672
584,27848640,147.069,-36.0825
585,27843460,147.725,-36.2246
586,27848380,147.07,-36.082
587,29689770,147.259,-36.2008
588,29688840,147.012,-36.4478
589,29689180,146.574,-36.5142
590,29689570,147.087,-36.0651
591,27848740,147.225,-36.3977
592,29686690,146.691,-36.3968
593,29686580,147.201,-37.0231
594,29690840,146.553,-36.4527
595,27841320,147.058,-36.5438
596,27839970,147.813,-36.2086
597,29685930,147.274,-36.3785
598,29689680,147.155,-36.0671
599,28516160,147.469,-35.9598
600,29687230,147.685,-36.0254
601,30137820,147.116,-36.7197
602,29689150,147.233,-36.2841
603,30399430,147.908,-36.0432
604,27839210,146.975,-36.4502
605,29053230,146.013,-36.5422
606,27849270,146.903,-36.423
607,27848170,147.228,-36.4098
608,29685360,147.821,-36.1418
609,27845830,146.957,-36.1836
610,29689240,146.9,-36.6867
611,27846200,147.194,-37.0191
612,28513560,146.94,-36.4452
613,29688420,146.962,-36.4478
614,27839390,147.96,-36.07
615,28514030,147.039,-36.196
616,27840100,147.304,-36.1975
617,28516420,147.644,-36.0692
618,28516920,147.146,-36.2235
619,29686890,146.874,-36.3777
620,29686620,147.282,-37.0274
621,28517320,146.975,-36.4501
622,27632540,146.894,-36.1933
623,29688860,147.011,-36.4484
624,27850100,147.698,-36.0121
625,29687160,146.922,-36.5719
626,27849590,146.829,-36.3064
627,30249050,147.363,-36.5286
628,29690870,146.861,-36.3292
629,28516430,147.643,-36.0745
630,27848490,147.007,-36.2578
631,29689660,147.085,-37.0038
632,27847090,147.138,-36.0602
633,29688800,147.037,-36.425
634,27849600,146.824,-36.2978
635,27843580,147.096,-36.0595
636,27844280,147.452,-36.5166
637,27848550,147.106,-36.0554
638,29685910,147.247,-36.3326
639,30313310,147.336,-36.1252
640,27845690,147.032,-36.3224
641,30045290,147.318,-36.0994
642,27846130,146.392,-36.1512
643,29692220,147.051,-36.2059
644,27839270,146.955,-36.2129
645,28513530,146.92,-36.4351
646,28516940,147.14,-36.2213
