ItemType,ItemIdentifier,OptShift,CrewTypeID,CrewTypeCode,CrewNum,Sequence,DistanceTravelForJob,PointsCalculatedForJob,PlanStartDate,PlanEndDate
Segment End,5236109118,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,133,0.0257678,,2023-10-17T08:11:39.0,2023-10-17T08:11:39.0
Segment Start,5236107371,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,198,0.03,,2023-10-17T08:17:50.0,2023-10-17T08:17:50.0
Segment End,5236107371,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,199,0.030604500000000003,,2023-10-17T08:17:52.0,2023-10-17T08:17:52.0
Segment Start,5236207186,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,208,0.0,,2023-10-17T08:18:19.0,2023-10-17T08:18:19.0
Segment End,5236207186,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,209,0.0471226,,2023-10-17T08:18:23.0,2023-10-17T08:18:23.0
Segment Start,5236107393,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,194,0.0,,2023-10-17T08:17:36.0,2023-10-17T08:17:36.0
Segment End,5236107393,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,195,0.0296533,,2023-10-17T08:17:39.0,2023-10-17T08:17:39.0
Segment Start,5236111758,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,76,0.0,,2023-10-17T08:06:38.0,2023-10-17T08:06:38.0
Segment End,5236111758,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,77,0.0246171,,2023-10-17T08:06:40.0,2023-10-17T08:06:40.0
Segment Start,5236211773,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,78,0.05,,2023-10-17T08:06:45.0,2023-10-17T08:06:45.0
Segment End,5236211773,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,79,0.0299075,,2023-10-17T08:06:48.0,2023-10-17T08:06:48.0
Segment Start,5236107841,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,190,0.0,,2023-10-17T08:16:40.0,2023-10-17T08:16:40.0
Segment End,5236107841,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,191,0.0333775,,2023-10-17T08:16:43.0,2023-10-17T08:16:43.0
Segment Start,5236007366,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,196,0.06,,2023-10-17T08:17:44.0,2023-10-17T08:17:44.0
Segment End,5236007366,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,197,0.0324946,,2023-10-17T08:17:47.0,2023-10-17T08:17:47.0
Segment Start,5510006649,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,20,0.0,,2023-10-17T07:37:27.0,2023-10-17T07:37:27.0
Segment End,5510006649,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,21,0.0361633,,2023-10-17T07:37:30.0,2023-10-17T07:37:30.0
Segment Start,5236210309,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,108,0.0,,2023-10-17T08:09:38.0,2023-10-17T08:09:38.0
