Variable,Value
"x[52362097371,52362103090,WodoStateHaz_1]",-0.0
"x[52362073461,52362080381,WodoStateHaz_1]",0.0
"x[55100066110,52361117581,WodoStateHaz_1]",0.0
"x[52182077010,52362103410,WodoStateHaz_1]",0.0
"x[52180076831,52180075591,WodoStateHaz_1]",0.0
"x[52362117590,52362090980,WodoStateHaz_1]",0.0
"x[52361073930,55100069640,WodoStateHaz_1]",0.0
"x[52361078410,52362083230,WodoStateHaz_1]",0.0
"x[52362087040,52362108951,WodoStateHaz_1]",0.0
"x[55101068371,80152074930,WodoStateHaz_1]",-0.0
"x[52361091181,52362117590,WodoStateHaz_1]",-0.0
"x[55101066160,55101069371,WodoStateHaz_1]",0.0
"x[55100072840,52362117170,WodoStateHaz_1]",0.0
"x[52362091110,52362091111,WodoStateHaz_1]",1.0
"x[52362083231,52362085141,WodoStateHaz_1]",0.0
"x[52182077011,52362088060,WodoStateHaz_1]",-0.0
"x[52361078411,52361085340,WodoStateHaz_1]",-0.0
"x[52362095851,55100072040,WodoStateHaz_1]",-0.0
"x[55101069370,52362103411,WodoStateHaz_1]",0.0
"x[52361085180,52362080381,WodoStateHaz_1]",0.0
"x[52361091180,52180075591,WodoStateHaz_1]",0.0
"x[52362072861,52362080380,WodoStateHaz_1]",-0.0
"x[52362090981,80652075271,WodoStateHaz_1]",0.0
"x[52362102821,55101069661,WodoStateHaz_1]",0.0
"x[55101069660,52181075731,WodoStateHaz_1]",0.0
"x[52181075561,55101070310,WodoStateHaz_1]",-0.0
"x[52362095851,52362097371,WodoStateHaz_1]",0.0
"x[52362088880,80662074661,WodoStateHaz_1]",0.0
"x[55100072041,55101068371,WodoStateHaz_1]",0.0
"x[52362080380,55101070310,WodoStateHaz_1]",0.0
"x[52361085341,52362091110,WodoStateHaz_1]",-0.0
"x[55101067850,55100074740,WodoStateHaz_1]",0.0
"x[52362102821,55101068370,WodoStateHaz_1]",-0.0
"x[52362072860,52362089971,WodoStateHaz_1]",0.0
